"plant_id","hyphae_m_g","prop_col","col_hyp","nectar_mm","pollen_density","protein_mg_l","nectar_brix","flower_d_cm","tot_flower","total_daily_obs","total_visits","total_visit_time"
1,-0.962964380464084,-0.571744030446218,-0.630655517197278,-1.39378956068842,-1.11191358613438,0.992707868176715,3.59781394856768,-1.3073883081121,-2.22045741470966,4,19,666
2,-0.862335608993302,-0.571744030446218,-0.661589699889719,-1.1835501682548,-0.705082707999879,0.200005376411658,1.24190210198454,-0.78914797964362,1.07039210787096,5,14,655
3,-0.888816864643508,-0.527745250042947,-0.165346159549135,0.324166617483454,-0.246736208159657,1.57277421045562,-0.109850596874637,-0.0251441964375036,2.10960774658063,4,16,496
4,-0.698151823962027,-0.571744030446218,-0.67885628662802,-1.08844187167768,-0.209677539580839,0.64722083152026,0.585336505395797,-1.02956875058261,0.0311764691612901,4,20,684
5,-0.825261851083013,-0.571744030446218,-0.667288101964642,-0.695494435819606,1.91549457007371,0.22056757624255,0.353607471305652,-0.228166180785982,0.550784288516126,5,35,1403
6,-0.910001869163672,-0.571744030446218,-0.651006953179147,-0.132353206086694,1.21423053388992,1.24028977247984,1.33845586618877,0.551865653816066,1.24359471432257,2,7,523
7,-0.210896719998238,-0.485524198140818,-0.463518247927997,-0.366619957655585,0.0618484744293505,1.32465649819139,-0.457444148009854,-0.805176031039554,0.723986894967738,5,46,1511
8,-0.751114335262438,-0.571744030446218,-0.675058650248629,1.03254465198939,2.52097620131533,0.993852831474523,1.43500963039299,1.00599377670082,0.377581682064514,4,25,457
9,-0.62930055927149,-0.571744030446218,-0.682517378778041,0.0816404612118126,4.22168402240172,-0.151576938075108,0.0929123079542394,0.393722213376199,-1.35444438245161,4,21,814
10,-0.348599249379308,-0.571744030446218,-0.690505937380577,0.179251607698851,0.329098488218907,0.939887152352801,-0.959523721871834,0.368077331142707,1.5899999272258,5,26,1145
11,1.38857112127419,2.00370182246939,1.74588812296211,0.12293748472556,-0.433454884460627,-0.00281442230553644,-1.96368286959579,-0.0892564020212346,-0.142026137290322,4,30,815
12,0.382283406566372,0.510254146794786,1.02763599562283,0.308148378059939,0.302017153488232,0.992301387136511,-0.22571511391971,-1.00209209104672,0.377581682064514,2,14,647
13,0.128063352324396,1.85857749266224,3.97985703844698,-1.06341337257844,-0.717299851487401,1.7268104073853,-0.573308665054927,-0.617418857544343,1.5899999272258,5,21,487
14,0.83246475261987,1.90239028788265,2.32674097815833,-0.263752826357707,0.519808098059134,-0.175164471547485,0.314985965623962,1.00919938698001,-0.315228743741934,5,43,2215
15,1.41505237692439,2.72062185172998,2.39375271583378,0.693587264188244,-0.626587561092546,1.77092569431022,0.150844566476776,-1.09368095616634,-0.488431350193546,4,9,391
16,-0.560449294580956,-0.351750128429863,0.277406056453897,0.918843756081409,0.138388878378679,0.909051553120192,-0.689173182099999,1.0348442692135,1.07039210787096,3,31,1372
17,0.0168420785935304,-0.432573975040219,-0.400503547373058,-0.785597032576872,-0.0463343311526619,0.50839422208422,-0.689173182099999,1.26931176391971,0.204379075612902,4,22,606
18,0.0433233342437371,-0.478963993508886,-0.503385305223705,1.1365916982448,1.81629136495503,-0.630294076489198,-0.167782855397173,1.51354873757202,2.28281035303224,4,26,831
19,-0.157934208697827,-0.167418395793,0.320621870327561,2.04512621554723,-0.357912213896112,-0.767427194423127,-0.920902216190143,0.989965725304888,0.723986894967738,3,21,892
20,-0.549856792320874,-0.392043748378122,0.0856079165435579,-0.143616030681352,-0.164779537264193,-0.218480710316399,0.0349800494317032,0.445011977843184,0.0311764691612901,4,20,886
21,-0.888816864643508,-0.571744030446218,-0.656298326534433,-1.15351596933571,-1.07129158403837,-2.07496733868854,-0.457444148009854,-2.44003727342467,-1.18124177599999,3,17,391
22,-0.49159802989042,-0.571744030446218,-0.687356387532851,-0.873196779424214,-0.0771215327412187,0.10996422400673,-0.727794687781689,-0.888521898298402,-1.18124177599999,3,11,262
23,-0.708744326222109,-0.571744030446218,-0.678178870408994,-1.25863566555252,-0.52823955601799,-0.815404141687071,0.932930056531014,2.36837814535509,-1.52764698890322,4,16,457
24,-0.528671787800709,-0.571744030446218,-0.68628277554772,-0.670465936720366,-0.422052217205606,0.43855077382398,-1.12945834687127,-0.196110077994116,-0.488431350193546,5,13,427
25,-0.602819303621286,-0.571744030446218,-0.68365585260538,-0.552831990953935,1.63755455573257,-0.242151039538151,0.759133280963405,-0.260222283577847,-1.00803916954838,4,11,335
26,-0.555153043450915,-0.571744030446218,-0.685426566266929,-0.843162580505125,-0.75443996768947,-0.894206863454441,-0.631240923577463,-1.56383713044702,0.89718950141935,3,8,199
27,-0.85174310673322,-0.526818959929194,-0.236762931602391,-0.192421603924871,-0.574847958422888,-0.816377875473869,-0.602274794316195,0.0603387443408029,-0.488431350193546,6,28,917
28,-0.740521833002354,-0.571744030446218,-0.67590753367461,1.28300841797536,-0.430604217646872,0.81158203489439,0.894308550849323,-0.324334489161578,-1.18124177599999,4,28,1154
29,-0.71404057735215,-0.571744030446218,-0.677826242788131,-0.0998161572576812,-0.744177567159951,-0.712736473430848,-0.206404361078864,-1.0776529047704,0.550784288516126,7,23,667
30,-0.438635518590009,-0.571744030446218,-0.688681531468783,0.933860855540953,-0.276668209704087,0.185195877101916,-0.689173182099999,-0.888521898298402,0.0311764691612901,5,29,928
31,2.73381890830464,2.92651965735485,1.45532482893753,0.342187136834907,-0.136985535830079,0.412711128037151,0.469471988350724,-0.0165959023596738,0.550784288516126,3,21,583
32,2.47959885406267,1.97521762870443,0.980541914568314,0.963895054460042,0.671178505869539,1.04726160409932,-0.998145227553526,-1.31807367570939,-0.661633956645158,6,19,695
33,2.51667261197295,1.97082379030452,0.960406700528642,-0.581614764918062,-0.297030115516625,-0.515526326470857,0.19139714744255,0.48164752389103,-0.142026137290322,3,21,560
34,2.72852265717461,1.79930135795228,0.762441091228015,0.693587264188244,-0.939163177220811,1.17037916103002,-0.967248023008173,0.680090064983528,-0.834836563096769,1,8,346
35,1.10257356025197,0.708620479288972,0.67438031514008,-0.0547648588790482,-0.451984218750036,-0.745220704509167,-0.148472102556327,-0.131997872410388,-0.661633956645158,6,30,598
36,-0.40156176067972,-0.571744030446218,-0.689489668490318,0.444732473144366,-0.660367962835546,-0.857452743366088,0.535680283805051,0.0603387443408029,-0.488431350193546,4,13,924
37,0.917204770700529,0.209699097561176,0.216521249081806,2.86105528618247,-0.695003564622673,0.721329814504076,-0.727794687781689,1.6759663250508,1.5899999272258,6,33,1016
38,-0.322117993729104,-0.47794443266342,-0.406160784891155,0.404508099592016,-0.395255949156306,-0.0924711611609497,-0.776071569883803,0.0346938621073114,0.204379075612902,5,20,773
39,-0.67167056831182,-0.431044633772021,0.0948893274896748,0.336931152024066,-1.01071491424607,-1.610818552352,-0.862969957667607,-0.965456544998879,1.41679732077419,3,21,230
40,-0.152637957567786,-0.344729046450617,-0.127221999351904,3.22396852312146,-0.171193537595142,-0.573989384299166,0.643268763918333,1.50744281323071,0.377581682064514,6,34,1112
41,1.24557234076309,-0.413674337886318,-0.540361907623544,-0.646688862576087,0.597061168711902,-2.03721966498735,0.903963927269746,1.25099399089579,-1.00803916954838,6,28,1309
42,-0.0467129349669628,-0.571744030446218,-0.694348353023952,-0.362615397799707,0.249564884115135,-0.11383360710745,2.09157522698174,0.368077331142707,-0.661633956645158,5,15,995
43,0.779502241319458,0.232349623010663,0.312411830797431,0.0478519874278379,-0.714245565615521,-0.745840115783298,0.99086231505355,1.06781626065656,-0.315228743741934,2,15,655
44,-0.417450514069845,-0.432573975040219,-0.207633737858067,-0.868191079604366,0.322684487887957,0.445326614922402,0.121878437215507,-0.260222283577847,-1.18124177599999,4,16,474
45,0.00624957633344864,0.139569586073333,0.824248192335273,-1.10846467095707,-0.412359950038838,-1.52240939689698,0.19912144857889,-0.837232133831417,-0.834836563096769,4,11,323
46,-0.247970477908527,-0.571744030446218,-0.692089044446895,-0.351602858196041,-0.0993567338885097,1.50958901660582,0.654855215622839,-0.196110077994116,-0.315228743741934,5,21,613
47,0.0803970921540259,-0.571744030446218,-0.695378559342307,0.603484667430978,-0.674051163541571,-0.7295044630271,0.508093494032415,0.0817094795353783,0.377581682064514,3,17,611
48,-0.544560541190831,-0.571744030446218,-0.685778835228169,-1.14413028217349,-0.0531759315056744,-1.07792670728453,-0.341579630964782,0.445011977843184,0.377581682064514,4,14,537
49,-0.613411805881368,-0.571744030446218,-0.683215312733062,-0.943276576902087,0.652649171580129,-1.31599557825361,-2.19541190368594,-1.60657860083618,-1.18124177599999,6,34,1150
50,-0.502190532150502,-0.344729046450617,0.209610862303729,-0.159884555095858,-0.9604210068891,-1.45152567943933,-0.824348451985917,1.29449870182761,-0.488431350193546,3,25,527
