"plant_id","p_supply","amf_pa","amf_richness","amf_csr","field_measure_date","shoot_g","root_g","root_shoot","tot_flower","flower_d_cm","nectar_mm","nectar_brix","pollen_density","protein_mg_l","hyphae_m_g","prop_col","col_hyp","spore_count"
19,"high","present","6 sp","csr",2019-08-10,31.9,7.408387872,0.232237864326019,4,NA,NA,NA,NA,NA,0.442853088287808,0.0947368421052632,0.216181945293434,9
19,"high","present","6 sp","csr",2019-08-10,31.9,7.408387872,0.232237864326019,NA,NA,NA,NA,NA,NA,0.442853088287808,0.0947368421052632,0.216181945293434,9
20,"high","present","6 sp","csr",2019-08-10,30.37,8.797101911,0.289664205169575,1,NA,NA,NA,NA,NA,0.258745624617595,0.0421052631578947,0.166593206055564,20.5
20,"high","present","6 sp","csr",2019-08-10,30.37,8.797101911,0.289664205169575,NA,NA,NA,NA,NA,NA,0.258745624617595,0.0421052631578947,0.166593206055564,20.5
21,"low","absent","0 sp","none",2019-08-10,22.78,7.804580864,0.342606710447761,0,NA,NA,NA,NA,NA,0.0995175479298444,0,0.010048479095415,10.5
21,"low","absent","0 sp","none",2019-08-10,22.78,7.804580864,0.342606710447761,NA,NA,NA,NA,NA,NA,0.0995175479298444,0,0.010048479095415,10.5
22,"low","absent","0 sp","none",2019-08-10,20.96,6.60957606,0.315342369274809,0,NA,NA,NA,NA,NA,0.286112950298303,0,0.0034951231636226,4.5
22,"low","absent","0 sp","none",2019-08-10,20.96,6.60957606,0.315342369274809,NA,NA,NA,NA,NA,NA,0.286112950298303,0,0.0034951231636226,4.5
23,"low","absent","0 sp","none",2019-08-10,21.94,6.13052995,0.279422513673655,1,NA,NA,NA,NA,NA,0.184107463670212,0,0.00543161032184594,4.5
23,"low","absent","0 sp","none",2019-08-10,21.94,6.13052995,0.279422513673655,NA,NA,NA,NA,NA,NA,0.184107463670212,0,0.00543161032184594,4.5
24,"low","absent","0 sp","none",2019-08-10,27.56,8.569786641,0.310950168396226,2,NA,NA,NA,NA,NA,0.26869737941058,0,0.00372165892422777,7
24,"low","absent","0 sp","none",2019-08-10,27.56,8.569786641,0.310950168396226,NA,NA,NA,NA,NA,NA,0.26869737941058,0,0.00372165892422777,7
25,"low","absent","0 sp","none",2019-08-10,23.37,5.954909986,0.254810012237912,1,NA,NA,NA,NA,NA,0.233866237635134,0,0.00427594855124042,4
25,"low","absent","0 sp","none",2019-08-10,23.37,5.954909986,0.254810012237912,NA,NA,NA,NA,NA,NA,0.233866237635134,0,0.00427594855124042,4
26,"high","absent","0 sp","none",2019-08-10,31.07,8.558725869,0.275465911457998,3,NA,NA,NA,NA,NA,0.256257685919349,0,0.00390232197880194,19
26,"high","absent","0 sp","none",2019-08-10,31.07,8.558725869,0.275465911457998,NA,NA,NA,NA,NA,NA,0.256257685919349,0,0.00390232197880194,19
27,"high","absent","0 sp","none",2019-08-10,30.04,8.821985262,0.293674609254328,3,NA,NA,NA,NA,NA,0.116933118817567,0.0105263157894737,0.0985718666022794,10.5
27,"high","absent","0 sp","none",2019-08-10,30.04,8.821985262,0.293674609254328,NA,NA,NA,NA,NA,NA,0.116933118817567,0.0105263157894737,0.0985718666022794,10.5
28,"high","absent","0 sp","none",2019-08-10,30.65,5.472978056,0.178563721239804,1,NA,NA,NA,NA,NA,0.169179831480736,0,0.00591087005612644,3.5
28,"high","absent","0 sp","none",2019-08-10,30.65,5.472978056,0.178563721239804,NA,NA,NA,NA,NA,NA,0.169179831480736,0,0.00591087005612644,3.5
29,"high","absent","0 sp","none",2019-08-10,26.57,8.056588799,0.303221257019195,1,NA,NA,NA,NA,NA,0.181619524971966,0,0.00550601594269314,11.5
29,"high","absent","0 sp","none",2019-08-10,26.57,8.056588799,0.303221257019195,NA,NA,NA,NA,NA,NA,0.181619524971966,0,0.00550601594269314,11.5
